"time","name","ref","table","plant","type","species","category","comment","deleted"
"2023-03-23 09:55:26","Katja","r0","Tisch 4","A4","Schädling","Weisse Fliege","0","",0
"2023-03-23 09:56:21","Katja","r0","Tisch 4","A8","Schädling","Weisse Fliege","0","",0
"2023-03-23 09:56:38","Katja","r0","Tisch 4","B6","Schädling","Weisse Fliege","0","",0
"2023-03-23 09:57:53","Katja","r0","Tisch 4","C1","Schädling","Weisse Fliege","0","",0
"2023-03-23 09:58:14","Katja","r0","Tisch 4","D4","Schädling","Weisse Fliege","0","",0
"2023-03-23 09:58:38","Katja","r0","Tisch 3","A3","Schädling","Weisse Fliege","0","",0
"2023-03-23 09:59:47","Katja","r0","Tisch 3","A6","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:00:13","Katja","r0","Tisch 3","B7","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:01:47","Katja","r0","Tisch 3","C2","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:01:56","Katja","r0","Tisch 3","D9","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:09:53","Katja","r0","Tisch 2","A2","Schädling","Trauermücke","1 - 2","Puppe und eine orangene Milbe?",0
"2023-03-23 10:10:44","Katja","r0","Tisch 2","A5","Schädling","Trauermücke","1 - 2","",0
"2023-03-23 10:11:05","Katja","r1","Tisch 2","A5","Schädling","Blattläuse","1 - 2","",0
"2023-03-23 10:13:24","Katja","r0","Tisch 2","B1","Schädling","Trauermücke","1 - 2","",0
"2023-03-23 10:13:59","Katja","r0","Tisch 2","B1","Schädling","Weichhautmilbe","1 - 2","",0
"2023-03-23 10:15:06","Katja","r1","Tisch 2","C9","Schädling","Blattläuse","1 - 2","",0
"2023-03-23 10:15:45","Katja","r0","Tisch 2","D7","Schädling","Trauermücke","1 - 2","",0
"2023-03-23 10:16:45","Katja","r0","Tisch 1","A3","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:16:57","Katja","r0","Tisch 1","B4","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:17:36","Katja","r0","Tisch 1","C7","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:17:51","Katja","r0","Tisch 1","D7","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:19:11","Katja","r0","Tisch 1","H6","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:19:23","Katja","r0","Tisch 1","G5","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:19:29","Katja","r0","Tisch 1","F2","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:20:13","Katja","r0","Tisch 1","E1","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:21:15","Katja","r1","Tisch 2","H8","Schädling","Blattläuse","1 - 2","",0
"2023-03-23 10:21:35","Katja","r0","Tisch 2","F6","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:21:49","Katja","r0","Tisch 2","G3","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:22:20","Katja","r0","Tisch 2","E2","Schädling","Trauermücke","0","",0
"2023-03-23 10:23:11","Katja","r0","Tisch 3","F8","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:23:30","Katja","r0","Tisch 3","G6","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:23:33","Katja","r0","Tisch 3","E5","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:23:52","Katja","r0","Tisch 3","H1","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:25:16","Katja","r0","Tisch 4","F9","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:25:19","Katja","r0","Tisch 4","E7","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:25:23","Katja","r0","Tisch 4","H5","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:25:38","Katja","r0","Tisch 4","G2","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:28:07","Katja","r0","Tisch 8","C2","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:34:23","Katja","r0","Tisch 8","B3","Schädling","Weisse Fliege","1 - 2","weisser lausartiger Schädling",0
"2023-03-23 10:34:51","Katja","r0","Tisch 8","B3","Schädling","Blattläuse","1 - 2","Blattlaus",0
"2023-03-23 10:35:06","Katja","r0","Tisch 8","A5","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:35:12","Katja","r0","Tisch 7","D1","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:35:23","Katja","r0","Tisch 7","A3","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:35:41","Katja","r0","Tisch 7","B5","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:36:26","Katja","r0","Tisch 7","C6","Schädling","Weisse Fliege","1 - 2","weisser lausartiger Schädling",0
"2023-03-23 10:38:16","Katja","r0","Tisch 7","C6","Schädling","Blattläuse","1 - 2","dunkle Blattlaus",0
"2023-03-23 10:38:33","Katja","r0","Tisch 6","D2","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:39:01","Katja","r0","Tisch 6","C6","Schädling","Blattläuse","1 - 2","dunkle Blattlaus",0
"2023-03-23 10:39:19","Katja","r0","Tisch 6","A7","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:39:52","Katja","r0","Tisch 6","B8","Schädling","Blattläuse","1 - 2","dunkle Blattlaus",0
"2023-03-23 10:40:12","Katja","r0","Tisch 6","B8","Schädling","Trauermücke","1 - 2","",0
"2023-03-23 10:43:34","Katja","r0","Tisch 5","C2","Schädling","Weisse Fliege","1 - 2","kleine Raupe",0
"2023-03-23 10:44:02","Katja","r0","Tisch 5","D3","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:44:18","Katja","r0","Tisch 5","A4","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:45:16","Katja","r0","Tisch 5","B6","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:45:36","Katja","r0","Tisch 5","E5","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:45:56","Katja","r0","Tisch 5","F6","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:46:31","Katja","r0","Tisch 5","H4","Schädling","Blattläuse","1 - 2","kleine Raupe",0
"2023-03-23 10:47:20","Katja","r0","Tisch 5","I3","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:47:41","Katja","r0","Tisch 5","G1","Schädling","Blattläuse","1 - 2","dunkle Blattlaus",0
"2023-03-23 10:47:57","Katja","r0","Tisch 6","G9","Schädling","Blattläuse","1 - 2","dunkle Blattlaus",0
"2023-03-23 10:48:21","Katja","r0","Tisch 6","E5","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:48:22","Katja","r0","Tisch 6","F4","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:48:22","Katja","r0","Tisch 6","H3","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:49:33","Katja","r0","Tisch 6","H1","Schädling","Blattläuse","1 - 2","dunkle Blauttlaus",0
"2023-03-23 10:49:54","Katja","r0","Tisch 7","F6","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:50:19","Katja","r0","Tisch 7","I4","Schädling","Blattläuse","1 - 2","keline Raupe",0
"2023-03-23 10:50:43","Katja","r0","Tisch 7","E4","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:50:49","Katja","r0","Tisch 7","H2","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:51:10","Katja","r0","Tisch 7","G1","Schädling","Trauermücke","1 - 2","",0
"2023-03-23 10:51:25","Katja","r0","Tisch 8","D5","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:51:34","Katja","r0","Tisch 8","F4","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:51:55","Katja","r0","Tisch 8","E1","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:52:49","Katja","r0","Tisch 9","A2","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:53:29","Katja","r0","Tisch 9","D3","Schädling","Weisse Fliege",NA,"kleine Löcher im Blatt",0
"2023-03-23 10:54:03","Katja","r0","Tisch 9","C4","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:54:56","Katja","r0","Tisch 9","B6","Schädling","Weisse Fliege",NA,"weisse Stelle mit schwarzen Punkten",0
"2023-03-23 10:55:50","Katja","r0","Tisch 9","G7","Schädling","Weisse Fliege",NA,"längliches gelbes Ei",0
"2023-03-23 10:56:10","Katja","r0","Tisch 9","H6","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:56:17","Katja","r0","Tisch 9","E5","Schädling","Weisse Fliege","0","",0
"2023-03-23 10:56:35","Katja","r0","Tisch 9","F1","Schädling","Weisse Fliege",NA,"rundes weisses Ei",0
"2023-03-27 15:06:59","Julian","r0","Tisch 4","C1","Schädling","Blattläuse","0","",0
"2023-03-27 15:07:21","Julian","r0","Tisch 4","D4","Schädling","Blattläuse","0","",0
"2023-03-27 15:07:26","Julian","r0","Tisch 4","A4","Schädling","Blattläuse","0","",0
"2023-03-27 15:07:38","Julian","r0","Tisch 4","B6","Schädling","Blattläuse","0","",0
"2023-03-27 15:07:53","Julian","r0","Tisch 4","A8","Schädling","Blattläuse","0","",0
"2023-03-27 15:08:08","Julian","r0","Tisch 3","C2","Schädling","Blattläuse","0","",0
"2023-03-27 15:08:16","Julian","r0","Tisch 3","A3","Schädling","Blattläuse","0","",0
"2023-03-27 15:08:25","Julian","r0","Tisch 3","A6","Schädling","Blattläuse","0","",0
"2023-03-27 15:08:33","Julian","r0","Tisch 3","B7","Schädling","Blattläuse","0","",0
"2023-03-27 15:08:46","Julian","r0","Tisch 3","D9","Schädling","Blattläuse","0","",0
"2023-03-27 15:09:04","Julian","r1","Tisch 2","B1","Schädling","Blattläuse","0","",0
"2023-03-27 15:12:28","Julian","r1","Tisch 2","A2","Schädling","Blattläuse","0","",0
"2023-03-27 15:13:14","Julian","r1","Tisch 2","A5","Schädling","Blattläuse","1 - 2","",0
"2023-03-27 15:13:25","Julian","r1","Tisch 2","D7","Schädling","Blattläuse","0","",0
"2023-03-27 15:13:53","Julian","r1","Tisch 2","C9","Schädling","Blattläuse","1 - 2","",0
"2023-03-27 15:14:10","Julian","r0","Tisch 1","A3","Schädling","Blattläuse","0","",0
"2023-03-27 15:14:23","Julian","r0","Tisch 1","B4","Schädling","Blattläuse","0","",0
"2023-03-27 15:14:26","Julian","r0","Tisch 1","D7","Schädling","Blattläuse","0","",0
"2023-03-27 15:14:33","Julian","r0","Tisch 1","C7","Schädling","Blattläuse","0","",0
"2023-03-27 15:14:49","Julian","r0","Tisch 1","H6","Schädling","Blattläuse","0","",0
"2023-03-27 15:14:56","Julian","r0","Tisch 1","G5","Schädling","Blattläuse","0","",0
"2023-03-27 15:15:17","Julian","r0","Tisch 1","F2","Schädling","Blattläuse","0","",0
"2023-03-27 15:15:18","Julian","r0","Tisch 1","E1","Schädling","Blattläuse","0","",0
"2023-03-27 15:15:53","Julian","r1","Tisch 2","H8","Schädling","Blattläuse","1 - 2","",0
"2023-03-27 15:16:24","Julian","r1","Tisch 2","F6","Schädling","Blattläuse","0","",0
"2023-03-27 15:17:02","Julian","r1","Tisch 2","G3","Schädling","Blattläuse","6 - 10","",0
"2023-03-27 15:17:28","Julian","r1","Tisch 2","E2","Schädling","Blattläuse","0","",0
"2023-03-27 15:17:40","Julian","r0","Tisch 3","F8","Schädling","Blattläuse","0","",0
"2023-03-27 15:17:49","Julian","r0","Tisch 3","G6","Schädling","Blattläuse","0","",0
"2023-03-27 15:18:03","Julian","r0","Tisch 3","E5","Schädling","Blattläuse","0","",0
"2023-03-27 15:18:14","Julian","r0","Tisch 3","H1","Schädling","Blattläuse","0","",0
"2023-03-27 15:18:24","Julian","r0","Tisch 4","F9","Schädling","Blattläuse","0","",0
"2023-03-27 15:18:39","Julian","r0","Tisch 4","E7","Schädling","Blattläuse","0","",0
"2023-03-27 15:18:50","Julian","r0","Tisch 4","H5","Schädling","Blattläuse","0","",0
"2023-03-27 15:18:56","Julian","r0","Tisch 4","G2","Schädling","Blattläuse","0","",0
"2023-03-27 15:20:24","Julian","r0","Tisch 8","C2","Schädling","Blattläuse","0","",0
"2023-03-27 15:20:49","Julian","r0","Tisch 8","B3","Schädling","Blattläuse","0","",0
"2023-03-27 15:21:01","Julian","r0","Tisch 8","A5","Schädling","Blattläuse","0","",0
"2023-03-27 15:21:06","Julian","r0","Tisch 7","D1","Schädling","Blattläuse","0","",0
"2023-03-27 15:21:45","Julian","r0","Tisch 7","A3","Schädling","Blattläuse","0","",0
"2023-03-27 15:22:01","Julian","r0","Tisch 7","B5","Schädling","Blattläuse","0","",0
"2023-03-27 15:22:17","Julian","r0","Tisch 7","C6","Schädling","Blattläuse","0","",0
"2023-03-27 15:22:31","Julian","r0","Tisch 6","D2","Schädling","Blattläuse","0","",0
"2023-03-27 15:22:46","Julian","r0","Tisch 6","C6","Schädling","Blattläuse","0","",0
"2023-03-27 15:22:57","Julian","r0","Tisch 6","A7","Schädling","Blattläuse","0","",0
"2023-03-27 15:23:27","Julian","r0","Tisch 6","B8","Schädling","Blattläuse","0","",0
"2023-03-27 15:23:44","Julian","r0","Tisch 5","C2","Schädling","Blattläuse","0","",0
"2023-03-27 15:24:01","Julian","r0","Tisch 5","D3","Schädling","Blattläuse","0","",0
"2023-03-27 15:24:14","Julian","r0","Tisch 5","A4","Schädling","Blattläuse","0","",0
"2023-03-27 15:24:38","Julian","r0","Tisch 5","E5","Schädling","Blattläuse","0","",0
"2023-03-27 15:24:41","Julian","r0","Tisch 5","B6","Schädling","Blattläuse","0","",0
"2023-03-27 15:24:49","Julian","r0","Tisch 5","F6","Schädling","Blattläuse","0","",0
"2023-03-27 15:25:07","Julian","r0","Tisch 5","H4","Schädling","Blattläuse","0","",0
"2023-03-27 15:25:15","Julian","r0","Tisch 5","I3","Schädling","Blattläuse","0","",0
"2023-03-27 15:25:44","Julian","r0","Tisch 5","G1","Schädling","Blattläuse","0","",0
"2023-03-27 15:25:45","Julian","r0","Tisch 6","G9","Schädling","Blattläuse","0","",0
"2023-03-27 15:26:30","Julian","r0","Tisch 6","E5","Schädling","Blattläuse","0","",0
"2023-03-27 15:26:38","Julian","r0","Tisch 6","F4","Schädling","Blattläuse","0","",0
"2023-03-27 15:26:46","Julian","r0","Tisch 6","H3","Schädling","Blattläuse","0","",0
"2023-03-27 15:26:59","Julian","r0","Tisch 6","H1","Schädling","Blattläuse","0","",0
"2023-03-27 15:27:12","Julian","r0","Tisch 7","F6","Schädling","Blattläuse","0","",0
"2023-03-27 15:27:49","Julian","r0","Tisch 7","I4","Schädling","Blattläuse","0","",0
"2023-03-27 15:27:50","Julian","r0","Tisch 7","E4","Schädling","Blattläuse","0","",0
"2023-03-27 15:28:08","Julian","r0","Tisch 7","H2","Schädling","Blattläuse","0","",0
"2023-03-27 15:28:21","Julian","r0","Tisch 7","G1","Schädling","Blattläuse","0","",0
"2023-03-27 15:28:37","Julian","r0","Tisch 8","D5","Schädling","Blattläuse","0","",0
"2023-03-27 15:28:48","Julian","r0","Tisch 8","F4","Schädling","Blattläuse","0","",0
"2023-03-27 15:30:01","Julian","r0","Tisch 8","E1","Schädling","Blattläuse","1 - 2","",0
"2023-03-30 08:08:18","Katja","r0","Tisch 4","C1","Schädling","Blattläuse","0","",0
"2023-03-30 08:08:30","Katja","r0","Tisch 4","A4","Schädling","Blattläuse","0","",0
"2023-03-30 08:08:58","Katja","r0","Tisch 4","A8","Schädling","Blattläuse","0","",0
"2023-03-30 08:09:57","Katja","r0","Tisch 4","B6","Schädling","Blattläuse","0","",0
"2023-03-30 08:10:41","Katja","r0","Tisch 4","D4","Schädling","Blattläuse","0","",0
"2023-03-30 08:11:00","Katja","r0","Tisch 3","A3","Schädling","Blattläuse","0","",0
"2023-03-30 08:11:42","Katja","r0","Tisch 3","A6","Schädling","Blattläuse","0","",0
"2023-03-30 08:11:46","Katja","r0","Tisch 3","B7","Schädling","Blattläuse","0","",0
"2023-03-30 08:11:57","Katja","r0","Tisch 3","B7","Schädling","Blattläuse","0","",0
"2023-03-30 08:12:05","Katja","r0","Tisch 3","C2","Schädling","Blattläuse","0","",0
"2023-03-30 08:12:15","Katja","r0","Tisch 3","D9","Schädling","Blattläuse","0","",0
"2023-03-30 08:13:13","Katja","r1","Tisch 2","B1","Schädling","Blattläuse","0","",0
"2023-03-30 08:13:15","Katja","r1","Tisch 2","A2","Schädling","Blattläuse","0","",0
"2023-03-30 08:13:18","Katja","r1","Tisch 2","A5","Schädling","Blattläuse","0","",0
"2023-03-30 08:13:59","Katja","r1","Tisch 2","C9","Schädling","Blattläuse","6 - 10","",0
"2023-03-30 08:14:26","Katja","r1","Tisch 2","D7","Schädling","Blattläuse","0","",0
"2023-03-30 08:14:47","Katja","r0","Tisch 1","A3","Schädling","Blattläuse","0","",0
"2023-03-30 08:14:57","Katja","r0","Tisch 1","B4","Schädling","Blattläuse","0","",0
"2023-03-30 08:15:23","Katja","r0","Tisch 1","D7","Schädling","Blattläuse","0","",0
"2023-03-30 08:15:25","Katja","r0","Tisch 1","C7","Schädling","Blattläuse","0","",0
"2023-03-30 08:16:07","Katja","r0","Tisch 1","H6","Schädling","Blattläuse","0","",0
"2023-03-30 08:16:23","Katja","r0","Tisch 1","G5","Schädling","Blattläuse","0","",0
"2023-03-30 08:16:27","Katja","r0","Tisch 1","F2","Schädling","Blattläuse","0","",0
"2023-03-30 08:16:31","Katja","r0","Tisch 1","E1","Schädling","Blattläuse","0","",0
"2023-03-30 08:17:41","Katja","r1","Tisch 2","H8","Schädling","Blattläuse","0","",0
"2023-03-30 08:17:42","Katja","r1","Tisch 2","F6","Schädling","Blattläuse","0","",0
"2023-03-30 08:18:09","Katja","r1","Tisch 2","G3","Schädling","Blattläuse","1 - 2","",0
"2023-03-30 08:18:22","Katja","r1","Tisch 2","E2","Schädling","Blattläuse","0","",0
"2023-03-30 08:18:34","Katja","r0","Tisch 3","F8","Schädling","Blattläuse","0","",0
"2023-03-30 08:19:50","Katja","r0","Tisch 3","G6","Schädling","Blattläuse","0","trockene, braune, papyrusartige Stelle am Blatt",0
"2023-03-30 08:19:59","Katja","r0","Tisch 3","E5","Schädling","Blattläuse","0","",0
"2023-03-30 08:20:53","Katja","r0","Tisch 4","F9","Schädling","Blattläuse","0","Blatt verkrüppel",0
"2023-03-30 08:21:03","Katja","r0","Tisch 4","E7","Schädling","Blattläuse","0","",0
"2023-03-30 08:21:05","Katja","r0","Tisch 4","H5","Schädling","Blattläuse","0","",0
"2023-03-30 08:21:14","Katja","r0","Tisch 4","G2","Schädling","Blattläuse","0","",0
"2023-03-30 08:55:11","Katja","r0","Tisch 8","E1","Schädling","Blattläuse","0","Frasschäden",0
"2023-03-30 08:55:46","Katja","r0","Tisch 8","F4","Schädling","Blattläuse","0","",0
"2023-03-30 08:56:21","Katja","r0","Tisch 8","D5","Schädling","Blattläuse","0","",0
"2023-03-30 08:56:21","Katja","r0","Tisch 8","F4","Schädling","Blattläuse","0","",0
"2023-03-30 08:57:08","Katja","r0","Tisch 8","C2","Schädling","Blattläuse","0","",0
"2023-03-30 08:57:22","Katja","r0","Tisch 8","B3","Schädling","Blattläuse","1 - 2","",0
"2023-03-30 08:57:31","Katja","r0","Tisch 8","A5","Schädling","Blattläuse","0","",0
"2023-03-30 08:57:41","Katja","r0","Tisch 7","D1","Schädling","Blattläuse","0","",0
"2023-03-30 08:57:48","Katja","r0","Tisch 7","A3","Schädling","Blattläuse","0","",0
"2023-03-30 08:57:56","Katja","r0","Tisch 7","B5","Schädling","Blattläuse","0","",0
"2023-03-30 08:58:18","Katja","r0","Tisch 7","C6","Schädling","Blattläuse","1 - 2","",0
"2023-03-30 08:58:18","Katja","r0","Tisch 6","D2","Schädling","Blattläuse","1 - 2","",0
"2023-03-30 08:58:27","Katja","r0","Tisch 6","D2","Schädling","Blattläuse","0","",0
"2023-03-30 08:58:39","Katja","r0","Tisch 6","C6","Schädling","Blattläuse","1 - 2","",0
"2023-03-30 08:58:56","Katja","r0","Tisch 6","B8","Schädling","Blattläuse","1 - 2","",0
"2023-03-30 08:59:02","Katja","r0","Tisch 6","A7","Schädling","Blattläuse","0","",0
"2023-03-30 08:59:16","Katja","r0","Tisch 5","C2","Schädling","Blattläuse","0","",0
"2023-03-30 08:59:22","Katja","r0","Tisch 5","D3","Schädling","Blattläuse","0","",0
"2023-03-30 08:59:28","Katja","r0","Tisch 7","H2","Schädling","Blattläuse","0","",0
"2023-03-30 08:59:40","Katja","r0","Tisch 5","A4","Schädling","Blattläuse","0","",0
"2023-03-30 09:00:07","Katja","r0","Tisch 5","B6","Schädling","Blattläuse","1 - 2","Gemüseeule",0
"2023-03-30 09:00:21","Katja","r0","Tisch 5","E5","Schädling","Blattläuse","0","",0
"2023-03-30 09:00:30","Katja","r0","Tisch 5","F6","Schädling","Blattläuse","0","",0
"2023-03-30 09:01:04","Katja","r0","Tisch 5","H4","Schädling","Blattläuse","1 - 2","Gemüseeule",0
"2023-03-30 09:01:05","Katja","r0","Tisch 5","I3","Schädling","Blattläuse","1 - 2","Gemüseeule",0
"2023-03-30 09:02:44","Katja","r0","Tisch 7","I4","Schädling","Blattläuse","1 - 2","Gemüseeule und eine Art Pilz",0
"2023-03-30 09:02:44","Katja","r0","Tisch 7","E4","Schädling","Blattläuse","1 - 2","Gemüseeule und eine Art Pilz",0
"2023-03-30 09:04:49","Katja","r0","Tisch 5","I3","Schädling","Blattläuse","1 - 2","Gemüseeule",0
"2023-03-30 09:05:08","Katja","r0","Tisch 5","G1","Schädling","Blattläuse","1 - 2","Gemüseeule",0
"2023-03-30 09:05:24","Katja","r0","Tisch 6","G9","Schädling","Blattläuse","1 - 2","",0
"2023-03-30 09:05:42","Katja","r0","Tisch 6","E5","Schädling","Blattläuse","1 - 2","Gemüseeule",0
"2023-03-30 09:05:45","Katja","r0","Tisch 6","F4","Schädling","Blattläuse","1 - 2","Gemüseeule",0
"2023-03-30 09:05:45","Katja","r0","Tisch 6","H3","Schädling","Blattläuse","1 - 2","Gemüseeule",0
"2023-03-30 09:05:56","Katja","r0","Tisch 6","H1","Schädling","Blattläuse","1 - 2","Gemüseeule",0
"2023-03-30 09:05:57","Katja","r0","Tisch 7","F6","Schädling","Blattläuse","1 - 2","Gemüseeule",0
"2023-03-30 09:13:09","Katja","r0","Tisch 9","A2","Schädling","Thrips","1 - 2","1 Blatt befallen",0
"2023-03-30 09:13:24","Katja","r0","Tisch 9","D3","Schädling","Thrips","1 - 2","1 Blatt befallen",0
"2023-03-30 09:13:46","Katja","r0","Tisch 9","C4","Schädling","Thrips","1 - 2","2 Blätter befallen",0
"2023-03-30 09:13:54","Katja","r0","Tisch 9","B6","Schädling","Thrips","1 - 2","3 Blätter befallen",0
"2023-03-30 09:13:54","Katja","r0","Tisch 9","G7","Schädling","Thrips","1 - 2","3 Blätter befallen",0
"2023-03-30 09:14:00","Katja","r0","Tisch 9","G7","Schädling","Thrips","1 - 2","3 Blätter befallen",0
"2023-03-30 09:14:17","Katja","r0","Tisch 9","E5","Schädling","Thrips","0","",0
"2023-03-30 09:14:28","Katja","r0","Tisch 9","H6","Schädling","Thrips","1 - 2","1 Blatt befallen",0
"2023-03-30 09:15:18","Katja","r0","Tisch 9","F1","Schädling","Blattläuse","1 - 2","1 Gemüseeule und 1 Blattlaus",0
"2023-04-03 12:38:49","Julian","r2","Tisch 8","E1","Schädling","Spannerraupe","1 - 2","",0
"2023-04-03 12:38:47","Julian","r2","Tisch 8","F4","Schädling","Spannerraupe","0","",0
"2023-04-03 12:38:07","Julian","r2","Tisch 8","D5","Schädling","Spannerraupe","0","",0
"2023-04-03 12:38:01","Julian","r2","Tisch 7","G1","Schädling","Spannerraupe","0","",0
"2023-04-03 12:37:44","Julian","r2","Tisch 7","H2","Schädling","Spannerraupe","0","",0
"2023-04-03 12:37:23","Julian","r2","Tisch 7","E4","Schädling","Spannerraupe","0","",0
"2023-04-03 12:37:19","Julian","r2","Tisch 7","I4","Schädling","Spannerraupe","1 - 2","",0
"2023-04-03 12:36:24","Julian","r2","Tisch 7","F6","Schädling","Spannerraupe","0","",0
"2023-04-03 12:36:17","Julian","r2","Tisch 6","H1","Schädling","Spannerraupe","1 - 2","",0
"2023-04-03 12:35:48","Julian","r2","Tisch 6","H3","Schädling","Spannerraupe","1 - 2","",0
"2023-04-03 12:35:45","Julian","r2","Tisch 6","F4","Schädling","Spannerraupe","0","",0
"2023-04-03 12:34:53","Julian","r2","Tisch 6","E5","Schädling","Spannerraupe","0","",0
"2023-04-03 12:34:44","Julian","r2","Tisch 6","G9","Schädling","Spannerraupe","0","",0
"2023-04-03 12:34:24","Julian","r0","Tisch 5","G1","Schädling","Blattläuse","1 - 2","",0
"2023-04-03 12:34:08","Julian","r2","Tisch 5","G1","Schädling","Spannerraupe","1 - 2","",0
"2023-04-03 12:33:22","Julian","r2","Tisch 5","H4","Schädling","Spannerraupe","1 - 2","",0
"2023-04-03 12:33:22","Julian","r2","Tisch 5","I3","Schädling","Spannerraupe","1 - 2","",0
"2023-04-03 12:32:11","Julian","r2","Tisch 5","F6","Schädling","Spannerraupe","0","",0
"2023-04-03 12:32:02","Julian","r2","Tisch 5","B6","Schädling","Spannerraupe","1 - 2","",0
"2023-04-03 12:31:35","Julian","r2","Tisch 5","E5","Schädling","Spannerraupe","0","",0
